"chr" "start" "end" "length" "nCG" "meanMethy1" "meanMethy2" "diff.Methy" "areaStat"
"chr19" 23118372 23119268 897 235 0.00826919808915711 0.134683478926974 -0.126414280837816 -1319.21360508544
"chr19" 24257509 24258039 531 143 0.00352961862181326 0.216810807818226 -0.213281189196413 -1155.25146037225
"chr19" 12478319 12479164 846 210 0.0124399786160637 0.136381250828407 -0.123941272212343 -1113.84356088997
"chr19" 17371214 17371878 665 150 0.00312587985103367 0.151650289243225 -0.148524409392191 -1008.9204151855
"chr19" 37339501 37340176 676 166 0.00432397830658585 0.136028622692954 -0.131704644386368 -988.015880688988
"chr19" 34855831 34856440 610 165 0.09090454332566 0.00267783766310901 0.088226705662551 953.550724328259
"chr19" 24976588 24977168 581 172 0.00472607104194778 0.0906198461285848 -0.0858937750866371 -930.811821160734
"chr19" 56710078 56711146 1069 174 0.00677187647526386 0.124936298484801 -0.118164422009537 -792.4602544282
"chr19" 36811589 36812167 579 161 0.0679221426532538 0.00383385674621648 0.0640882859070373 758.065460704534
"chr19" 42078817 42079292 476 106 0.0105657627040475 0.160163841545367 -0.14959807884132 -712.852666402967
"chr19" 15961921 15962460 540 138 0.00814335616952094 0.105801283754799 -0.0976579275852778 -690.385693334881
"chr19" 7318539 7319315 777 156 0.0561293822277117 0.00265482882065272 0.053474553407059 663.622945742055
"chr19" 4861141 4861870 730 141 0.00532695045595032 0.0976499402393103 -0.0923229897833599 -598.787507332903
"chr19" 5322855 5323363 509 146 0.0544136929405403 0.00397007096117446 0.0504436219793658 587.522707484292
"chr19" 53933349 53933856 508 80 0.17336277771899 0.00300758509576836 0.170355192623221 548.954877380273
"chr19" 5779245 5779760 516 117 0.0174764604063251 0.137282323368009 -0.119805862961684 -537.84122929429
"chr19" 6952262 6952818 557 104 0.0950802810562975 0.00319918640143438 0.0918810946548631 530.223634491495
"chr19" 23736127 23736662 536 121 0.00585367136480047 0.113443290627866 -0.107589619263065 -522.77221632066
"chr19" 24151242 24151775 534 113 0.0756755196702966 0.00292861662234286 0.0727469030479537 521.348243311572
"chr19" 29499408 29499918 511 129 0.0109076748485678 0.0763760795224267 -0.0654684046738589 -501.45341305165
"chr19" 5135251 5135780 530 110 0.0146581446493788 0.108677381025193 -0.0940192363758146 -500.432246071808
"chr19" 40819703 40820202 500 138 0.00374638043156177 0.0553142645385913 -0.0515678841070295 -500.003920588881
"chr19" 37423503 37424022 520 93 0.00686911273627574 0.151384979117533 -0.144515866381258 -492.003473831273
"chr19" 25213904 25214571 668 127 0.0597961907106275 0.00733449484730434 0.0524616958633232 475.613563997218
